Location,Date,Method,TowDistance,SetTime,FlowMeterStart,FlowMeterEnd,Rotations,MeshSize,RingSize,TotalVolume,SubsampledVolume,Taxon,Count,nSubsamples,TaxonomicGrouping,BiomassIndex,TotalBiomass,RingSize_m,distance,volumesampled,samplecount,ind_m3,samplebiomass,bio_m3,radius,Taxa
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Rotifers,149,1,Microzoo,0.12,17.88,0.5,7.76630476630477,1.5249103749601531,41720,27358.984950895996,5006.4,3283.0781941075193,100,Microzoo
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Barnacles,0,NA,Microzoo,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Microzoo
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Copepod nauplii,191,1,Microzoo,0.1,19.1,0.5,7.76630476630477,1.5249103749601531,53480,35070.91359477272,5348,3507.091359477272,100,Microzoo
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,0.4,Ostracods,1,1,Microzoo,0.6,0.6,0.5,7.76630476630477,1.5249103749601531,280,183.61734866373152,168,110.17040919823891,100,Microzoo
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acanthocyclops vernalis adult,1,1,Cyclopoid,3.36,3.36,0.5,7.76630476630477,1.5249103749601531,20.74074074074074,13.601285086202335,69.68888888888888,45.70031788963984,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acanthocyclops vernalis copepodid,0,NA,Cyclopoid,1.68,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cyclopoid adult,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Cyclopoid copepodid,94,1,Cyclopoid,1.68,157.92,0.5,7.76630476630477,1.5249103749601531,1949.6296296296296,1278.5207981030194,3275.3777777777773,2147.9149408130725,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diacyclops thomasi,1,1,Cyclopoid,3.36,3.36,0.5,7.76630476630477,1.5249103749601531,20.74074074074074,13.601285086202335,69.68888888888888,45.70031788963984,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Ectocyclops phaleratus,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eucyclops elegans,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Eucyclops,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona copepodid,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona sinensis,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona spp.,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Limnoithona tetraspina,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Mesocyclops edax,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Macrocyclops albidus,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Microcyclops rubellus,3,1,Cyclopoid,3.36,10.08,0.5,7.76630476630477,1.5249103749601531,62.22222222222222,40.803855258607,209.06666666666666,137.10095366891952,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Monospilus,0,NA,Cladocera,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cladocera
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona copepodid,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona davisae,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona similis,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Oithona spp.,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Paracyclops chiltoni,0,NA,Cyclopoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Cyclopoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartia copepodid,0,NA,Calanoid,1.301,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Calanoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartia spp.,0,NA,Calanoid,0,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Calanoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartiella copepodid,0,NA,Calanoid,1.162,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Calanoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Acartiella sinensis,0,NA,Calanoid,2.666,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Calanoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Calanoid copepodid,7,1,Calanoid,1.5,10.5,0.5,7.76630476630477,1.5249103749601531,145.1851851851852,95.20899560341634,217.77777777777777,142.81349340512452,100,Calanoid
RV,2019-01-24,Tow,NA,2,970000,970289,289,50,50,112,5.4,Diaptomus copepodid,0,NA,Calanoid,NA,0,0.5,7.76630476630477,1.5249103749601531,0,0,0,0,100,Calanoid
