"Location","Treatment","Cage ID","FishID","LabForkLength_mm","LabWeight_g","Fullness","Digestion","Empty","Total Contents Weight","Taxa Group","CageCode","Count","Carbon_weight_ug","Biomass"
"Rio Vista","Exchanged",1,"C1N10",44,0.507,3,5,"N",0.0011,"Amphipod","Gammarus daiberi",2,5.7926225,11.585245
"Rio Vista","Exchanged",1,"C1N37",50,0.7995,3,5,"N",4e-04,"Amphipod","Hyalella",1,15.920186,15.920186
"Rio Vista","Exchanged",1,"C1N6",54,1.1016,4,5,"N",0.0017,"Amphipod","Gammarus daiberi",2,5.7926225,11.585245
"Rio Vista","Exchanged",1,"C1N6",54,1.1016,4,5,"N",0.0017,"Amphipod","Amphipod",2,13.19296767,26.38593534
"Rio Vista","Exchanged",3,"C3N10",50,0.6407,5,5,"N",0.0016,"Amphipod","Gammarus daiberi",2,5.7926225,11.585245
"Rio Vista","Exchanged",3,"C3N10",50,0.6407,5,5,"N",0.0016,"Amphipod","Hyalella",1,15.920186,15.920186
"Rio Vista","Exchanged",3,"C3N18",54,0.7778,4,5,"N",3e-04,"Amphipod","Gammarus daiberi",1,5.7926225,5.7926225
"Rio Vista","Exchanged",3,"C3N25",66,1.7677,5,4,"N",0.0038,"Amphipod","Gammarus daiberi",3,5.7926225,17.3778675
"Rio Vista","Exchanged",3,"C3N25",66,1.7677,5,4,"N",0.0038,"Amphipod","Amphipod",2,13.19296767,26.38593534
"Rio Vista","Exchanged",3,"C3N25",66,1.7677,5,4,"N",0.0038,"Amphipod","Hyalella",1,15.920186,15.920186
"Rio Vista","Exchanged",3,"C3N27",42,0.6139,3,3,"N",8e-04,"Amphipod","Gammarus daiberi",1,5.7926225,5.7926225
"Rio Vista","Exchanged",3,"C3N6",44,0.4957,4,5,"N",7e-04,"Amphipod","Gammarus daiberi",1,5.7926225,5.7926225
"Belden's Landing","Exchanged",5,"C5N6",56,0.7509,3,6,"N",0,"Other","Tanaid",1,10.93771267,10.93771267
"Belden's Landing","Exchanged",7,"C7N13",53,0.7257,6,5,"N",0.003,"Amphipod","Americorophium spinicorne",1,10.93771267,10.93771267
"Belden's Landing","Exchanged",7,"C7N24",62,1.2624,2,5,"N",5e-04,"Amphipod","Americorophium spinicorne",2,10.93771267,21.87542534
"Belden's Landing","Exchanged",7,"C7N24",62,1.2624,2,5,"N",5e-04,"Other","Tanaid",1,10.93771267,10.93771267
"Belden's Landing","Exchanged",7,"C7N6",70,2.0444,4,5,"N",9e-04,"Amphipod","Gammarus daiberi",1,5.7926225,5.7926225
"Belden's Landing","Exchanged",7,"C7N6",70,2.0444,4,5,"N",9e-04,"Amphipod","Americorophium spinicorne",2,10.93771267,21.87542534
"Rio Vista","Scrubbed",2,"C2N16",35,0.2185,5,5,"N",4e-04,"Amphipod","Hyalella",4,15.920186,63.680744
"Rio Vista","Scrubbed",2,"C2N16",35,0.2185,5,5,"N",4e-04,"Amphipod","Gammarus daiberi",3,5.7926225,17.3778675
